Class_id,Labels,File_path,File_name,Dataset
0,A,Test_Alphabet/A/A_000.png,A_000.png,Test_Alphabet
0,A,Test_Alphabet/A/A_001.png,A_001.png,Test_Alphabet
0,A,Test_Alphabet/A/A_002.png,A_002.png,Test_Alphabet
0,A,Test_Alphabet/A/A_003.png,A_003.png,Test_Alphabet
0,A,Test_Alphabet/A/A_004.png,A_004.png,Test_Alphabet
0,A,Test_Alphabet/A/A_005.png,A_005.png,Test_Alphabet
0,A,Test_Alphabet/A/A_006.png,A_006.png,Test_Alphabet
0,A,Test_Alphabet/A/A_007.png,A_007.png,Test_Alphabet
0,A,Test_Alphabet/A/A_008.png,A_008.png,Test_Alphabet
0,A,Test_Alphabet/A/A_009.png,A_009.png,Test_Alphabet
0,A,Test_Alphabet/A/A_010.png,A_010.png,Test_Alphabet
0,A,Test_Alphabet/A/A_011.png,A_011.png,Test_Alphabet
0,A,Test_Alphabet/A/A_012.png,A_012.png,Test_Alphabet
0,A,Test_Alphabet/A/A_013.png,A_013.png,Test_Alphabet
0,A,Test_Alphabet/A/A_014.png,A_014.png,Test_Alphabet
0,A,Test_Alphabet/A/A_015.png,A_015.png,Test_Alphabet
0,A,Test_Alphabet/A/A_016.png,A_016.png,Test_Alphabet
0,A,Test_Alphabet/A/A_017.png,A_017.png,Test_Alphabet
0,A,Test_Alphabet/A/A_018.png,A_018.png,Test_Alphabet
0,A,Test_Alphabet/A/A_019.png,A_019.png,Test_Alphabet
0,A,Test_Alphabet/A/A_020.png,A_020.png,Test_Alphabet
0,A,Test_Alphabet/A/A_021.png,A_021.png,Test_Alphabet
0,A,Test_Alphabet/A/A_022.png,A_022.png,Test_Alphabet
0,A,Test_Alphabet/A/A_023.png,A_023.png,Test_Alphabet
0,A,Test_Alphabet/A/A_024.png,A_024.png,Test_Alphabet
0,A,Test_Alphabet/A/A_025.png,A_025.png,Test_Alphabet
0,A,Test_Alphabet/A/A_026.png,A_026.png,Test_Alphabet
0,A,Test_Alphabet/A/A_027.png,A_027.png,Test_Alphabet
0,A,Test_Alphabet/A/A_028.png,A_028.png,Test_Alphabet
0,A,Test_Alphabet/A/A_029.png,A_029.png,Test_Alphabet
0,A,Test_Alphabet/A/A_030.png,A_030.png,Test_Alphabet
0,A,Test_Alphabet/A/A_031.png,A_031.png,Test_Alphabet
0,A,Test_Alphabet/A/A_032.png,A_032.png,Test_Alphabet
0,A,Test_Alphabet/A/A_033.png,A_033.png,Test_Alphabet
0,A,Test_Alphabet/A/A_034.png,A_034.png,Test_Alphabet
0,A,Test_Alphabet/A/A_035.png,A_035.png,Test_Alphabet
0,A,Test_Alphabet/A/A_036.png,A_036.png,Test_Alphabet
0,A,Test_Alphabet/A/A_037.png,A_037.png,Test_Alphabet
0,A,Test_Alphabet/A/A_038.png,A_038.png,Test_Alphabet
0,A,Test_Alphabet/A/A_039.png,A_039.png,Test_Alphabet
0,A,Test_Alphabet/A/A_040.png,A_040.png,Test_Alphabet
0,A,Test_Alphabet/A/A_041.png,A_041.png,Test_Alphabet
0,A,Test_Alphabet/A/A_042.png,A_042.png,Test_Alphabet
0,A,Test_Alphabet/A/A_043.png,A_043.png,Test_Alphabet
0,A,Test_Alphabet/A/A_044.png,A_044.png,Test_Alphabet
0,A,Test_Alphabet/A/A_045.png,A_045.png,Test_Alphabet
0,A,Test_Alphabet/A/A_046.png,A_046.png,Test_Alphabet
0,A,Test_Alphabet/A/A_047.png,A_047.png,Test_Alphabet
0,A,Test_Alphabet/A/A_048.png,A_048.png,Test_Alphabet
0,A,Test_Alphabet/A/A_049.png,A_049.png,Test_Alphabet
0,A,Test_Alphabet/A/A_050.png,A_050.png,Test_Alphabet
0,A,Test_Alphabet/A/A_051.png,A_051.png,Test_Alphabet
0,A,Test_Alphabet/A/A_052.png,A_052.png,Test_Alphabet
